iter	Passed	Remaining
424	1861	2517
425	1862	2509
426	1863	2500
427	1866	2494
428	1868	2487
429	1870	2479
430	1872	2471
431	1874	2464
432	1875	2455
433	1877	2447
434	1878	2439
435	1879	2431
436	1897	2444
437	1899	2436
438	1901	2429
439	1903	2422
440	1904	2414
441	1906	2406
442	1907	2398
443	1910	2391
444	1912	2385
445	1926	2392
446	1928	2385
447	1930	2379
448	1932	2371
449	1933	2363
450	1938	2359
451	1942	2355
452	1945	2349
453	1948	2343
454	1958	2345
455	1961	2339
456	1962	2331
457	1972	2334
458	1974	2327
459	1976	2320
460	1984	2319
461	1986	2312
462	1988	2305
463	1989	2298
464	1990	2290
465	1992	2282
466	1995	2277
467	1998	2271
468	2000	2264
469	2000	2256
470	2002	2249
471	2018	2257
472	2019	2250
473	2029	2252
474	2031	2245
475	2032	2237
476	2034	2230
477	2036	2224
478	2048	2227
479	2049	2220
480	2050	2212
481	2051	2205
482	2052	2197
483	2056	2192
484	2057	2184
485	2058	2177
486	2060	2170
487	2062	2163
488	2065	2158
489	2067	2151
490	2068	2144
491	2070	2138
492	2071	2130
493	2072	2123
494	2073	2115
495	2075	2108
496	2076	2101
497	2077	2094
498	2080	2088
499	2081	2081
500	2084	2076
501	2086	2070
502	2089	2064
503	2092	2059
504	2096	2054
505	2098	2048
506	2099	2041
507	2100	2034
508	2102	2028
509	2105	2022
510	2107	2016
511	2108	2009
512	2113	2006
513	2114	1999
514	2121	1997
515	2122	1991
516	2126	1986
517	2128	1980
518	2129	1973
519	2131	1967
520	2132	1960
521	2134	1954
522	2138	1949
523	2139	1943
524	2140	1936
525	2145	1933
526	2159	1938
527	2161	1931
528	2165	1927
529	2169	1923
530	2172	1918
531	2173	1911
532	2174	1905
533	2179	1902
534	2180	1895
535	2181	1888
536	2182	1881
537	2183	1875
538	2184	1868
539	2185	1861
540	2186	1855
541	2187	1848
542	2193	1845
543	2194	1839
544	2195	1833
545	2197	1827
546	2199	1821
547	2200	1815
548	2201	1808
549	2203	1802
550	2204	1796
551	2205	1790
552	2207	1784
553	2208	1777
554	2209	1771
555	2211	1766
556	2213	1760
557	2214	1754
558	2216	1748
559	2217	1742
560	2219	1736
561	2220	1730
562	2223	1725
563	2224	1720
564	2226	1713
565	2228	1708
566	2230	1703
567	2232	1697
568	2233	1691
569	2234	1685
570	2235	1679
571	2237	1673
572	2238	1668
573	2240	1662
574	2241	1656
575	2243	1651
576	2244	1645
577	2245	1639
578	2247	1633
579	2248	1628
580	2249	1622
581	2251	1616
582	2252	1611
583	2253	1605
584	2255	1599
585	2256	1594
586	2257	1588
587	2258	1582
588	2259	1576
589	2260	1571
590	2262	1565
591	2263	1559
592	2264	1554
593	2265	1548
594	2266	1542
595	2267	1537
596	2268	1531
597	2269	1525
598	2270	1520
599	2272	1515
600	2273	1509
601	2274	1503
602	2275	1498
603	2276	1492
604	2277	1487
605	2279	1481
606	2280	1476
607	2281	1470
608	2282	1465
609	2283	1459
610	2284	1454
611	2285	1448
612	2287	1443
613	2288	1438
614	2290	1433
615	2291	1428
616	2293	1423
617	2294	1418
618	2296	1413
619	2297	1408
620	2299	1403
621	2300	1397
622	2301	1392
623	2303	1387
624	2304	1382
625	2305	1377
626	2306	1371
627	2307	1366
628	2308	1361
629	2309	1356
630	2310	1351
631	2311	1345
632	2312	1340
633	2313	1335
634	2314	1330
635	2315	1325
636	2316	1320
637	2321	1317
638	2322	1312
639	2323	1306
640	2324	1301
641	2325	1296
642	2326	1291
643	2327	1286
644	2328	1281
645	2330	1276
646	2331	1271
647	2332	1266
648	2334	1262
649	2335	1257
650	2336	1252
651	2338	1247
652	2339	1243
653	2340	1238
654	2342	1233
655	2343	1228
656	2344	1224
657	2346	1219
658	2347	1214
659	2348	1209
660	2350	1205
661	2351	1200
662	2353	1196
663	2354	1191
664	2355	1186
665	2357	1182
666	2358	1177
667	2360	1172
668	2361	1168
669	2362	1163
670	2363	1158
671	2365	1154
672	2366	1149
673	2367	1145
674	2369	1140
675	2370	1136
676	2372	1131
677	2374	1127
678	2377	1124
679	2382	1121
680	2384	1117
681	2387	1113
682	2388	1108
683	2391	1104
684	2394	1101
685	2398	1097
686	2400	1093
687	2401	1089
688	2403	1085
689	2405	1080
690	2407	1076
691	2410	1072
692	2412	1068
693	2417	1065
694	2419	1061
695	2420	1057
696	2421	1052
697	2422	1048
698	2423	1043
699	2424	1038
700	2425	1034
701	2427	1030
702	2433	1028
703	2435	1023
704	2436	1019
705	2438	1015
706	2439	1011
707	2440	1006
708	2442	1002
709	2445	999
710	2446	994
711	2451	991
712	2453	987
713	2454	983
714	2457	979
715	2459	975
716	2461	971
717	2464	967
718	2467	964
719	2470	960
720	2472	956
721	2473	952
722	2474	948
723	2475	943
724	2479	940
725	2482	936
726	2483	932
727	2485	928
728	2486	924
729	2488	920
730	2489	916
731	2490	911
732	2494	908
733	2495	904
734	2497	900
735	2499	896
736	2501	892
737	2503	888
738	2506	885
739	2510	882
740	2514	878
741	2516	874
742	2517	870
743	2520	867
744	2523	863
745	2525	859
746	2528	856
747	2531	852
748	2534	849
749	2537	845
750	2540	842
751	2541	838
752	2544	834
753	2545	830
754	2547	826
755	2548	822
756	2550	818
757	2551	814
758	2553	810
759	2557	807
760	2558	803
761	2559	799
762	2561	795
763	2562	791
764	2563	787
765	2564	783
766	2565	779
767	2567	775
768	2568	771
769	2569	767
770	2571	763
771	2572	759
772	2575	756
773	2577	752
774	2578	748
775	2579	744
776	2580	740
777	2582	736
778	2593	735
779	2595	731
780	2597	728
781	2600	725
782	2603	721
783	2613	720
784	2616	716
785	2619	713
786	2623	710
787	2625	706
788	2628	702
789	2630	699
790	2633	695
791	2635	692
792	2636	688
793	2637	684
794	2639	680
795	2641	677
796	2643	673
797	2644	669
798	2645	665
799	2647	661
800	2648	657
801	2649	654
802	2651	650
803	2652	646
804	2653	642
805	2656	639
806	2658	635
807	2660	632
808	2661	628
809	2662	624
810	2664	620
811	2665	617
812	2667	613
813	2668	609
814	2669	605
815	2671	602
816	2672	598
817	2676	595
818	2678	591
819	2680	588
820	2682	584
821	2684	581
822	2687	578
823	2691	574
824	2695	571
825	2699	568
826	2700	564
827	2702	561
828	2704	557
829	2707	554
830	2708	550
831	2710	547
832	2712	543
833	2713	540
834	2715	536
835	2717	533
836	2719	529
837	2722	526
838	2724	522
839	2726	519
840	2727	515
841	2729	512
842	2730	508
843	2732	505
844	2733	501
845	2735	497
846	2736	494
847	2739	490
848	2740	487
849	2741	483
850	2742	480
851	2743	476
852	2744	473
853	2745	469
854	2747	465
855	2748	462
856	2749	458
857	2751	455
858	2752	451
859	2754	448
860	2756	445
861	2760	441
862	2765	438
863	2765	435
864	2766	431
865	2767	428
866	2768	424
867	2769	421
868	2771	417
869	2772	414
870	2773	410
871	2773	407
872	2774	403
873	2775	400
874	2776	396
875	2777	393
876	2777	389
877	2778	386
878	2779	382
879	2780	379
880	2781	375
881	2781	372
882	2784	368
883	2785	365
884	2786	362
885	2787	358
886	2788	355
887	2789	351
888	2790	348
889	2791	344
890	2791	341
891	2793	338
892	2794	334
893	2795	331
894	2795	328
895	2796	324
896	2797	321
897	2798	317
898	2799	314
899	2801	311
900	2802	307
901	2803	304
902	2805	301
903	2806	298
904	2807	294
905	2808	291
906	2809	288
907	2810	284
908	2811	281
909	2812	278
910	2813	274
911	2816	271
912	2817	268
913	2818	265
914	2819	261
915	2821	258
916	2822	255
917	2824	252
918	2825	249
919	2826	245
920	2827	242
921	2828	239
922	2832	236
923	2833	233
924	2834	229
925	2835	226
926	2836	223
927	2837	220
928	2838	216
929	2839	213
930	2840	210
931	2840	207
932	2841	204
933	2842	200
934	2843	197
935	2844	194
936	2845	191
937	2846	188
938	2847	184
939	2848	181
940	2849	178
941	2850	175
942	2851	172
943	2852	169
944	2853	166
945	2854	162
946	2855	159
947	2856	156
948	2856	153
949	2857	150
950	2858	147
951	2859	144
952	2862	141
953	2864	138
954	2864	134
955	2865	131
956	2866	128
957	2867	125
958	2868	122
959	2868	119
960	2869	116
961	2870	113
962	2871	110
963	2872	107
964	2872	104
965	2873	101
966	2874	98
967	2874	95
968	2875	92
969	2876	88
970	2877	85
971	2878	82
972	2879	79
973	2880	76
974	2881	73
975	2882	70
976	2883	67
977	2884	64
978	2884	61
979	2885	58
980	2886	55
981	2887	52
982	2887	49
983	2888	46
984	2889	44
985	2890	41
986	2890	38
987	2891	35
988	2897	32
989	2898	29
990	2899	26
991	2899	23
992	2900	20
993	2901	17
994	2902	14
995	2903	11
996	2903	8
997	2904	5
998	2905	2
999	2906	0

996	2739	8
997	2740	5
998	2741	2
999	2742	0
